country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gambia,187,189,190,191,191,190,188,186,183,180,179,178,177,176,175,173,170,166,162,158,157
Guinea-Bissau,305,317,330,342,353,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361
Equatorial Guinea,187,187,187,187,187,192,198,203,209,196,217,224,236,248,260,274,294,286,254,286,280
Greece,7.3,5.2,5.9,6.1,7.5,7.1,6.4,6.4,6.1,5.7,4.7,4.8,5.5,5.3,5.2,4.7,4.4,4.7,4.4,4.8,4.5
Grenada,0,0.55,1.1,2.2,2.2,1.7,1.1,3.3,5.5,5.4,4.3,2.2,1.1,0.54,0,5.2,6.3,3.1,2.1,3.1,2.8
Greenland,129,131,134,137,139,142,145,147,150,128,231,234,171,196,177,165,118,116,100,128,150
Guatemala,31,25,30,26,32,36,34,29,29,25,28,25,28,27,25,26,24,25,26,26,27
Guam,40,46,37,16,36,46,32,38,64,74,73,59,49,34,40,54,53,59,49,54,39
Guyana,71,71,99,106,101,107,119,99,109,128,119,118,124,112,89,93,94,84,83,79,79
"Hong Kong, China",105,117,108,101,97,96,94,90,93,86,81,78,78,77,77,72,70,68,67,63,56
Honduras,122,93,81,71,62,56,52,44,44,45,43,48,44,42,39,40,39,37,37,31,30
Croatia,42,36,38,36,31,28,27,25,26,22,18,17,14,14,13,13,12,10,10,8.3,6.6
Haiti,270,274,277,277,276,272,266,257,248,238,229,220,213,206,200,194,188,181,176,170,168
Hungary,35,33,31,31,26,21,19,18,16,15,18,15,14,12,9.4,10,8.7,7.7,7.1,6.3,4.6
Indonesia,370,369,367,366,363,360,357,353,349,345,342,338,335,332,329,325,322,319,316,312,301
India,289,288,287,285,282,279,274,268,261,254,247,241,234,228,223,217,211,204,199,193,188
Ireland,12,12,11,12,12,12,12,12,11,11,9.8,9.7,8.5,8.9,7.4,7.3,7.2,7.3,7,5.8,5.3
Iran,23,22,21,20,18,17,17,16,16,17,18,18,18,18,16,16,15,14,14,13,13
Iraq,50,50,49,49,49,48,48,47,47,46,45,44,43,41,39,37,35,33,31,28,27
Iceland,5.3,4.9,3.2,2,4.3,3.9,5,4.5,2.2,3.3,7.9,2.8,3.5,3.9,2.8,2.4,2.1,4.5,2.7,4.4,2.8
Israel,10,9.7,8.7,8.6,8.2,6.5,5.9,6.7,5.3,5.6,5.3,6.3,7.6,4.6,5.3,4,3.5,3.3,4,2.9,2.1
Italy,7.1,8.7,7.9,8.7,7.9,7.6,8.1,5.4,8.1,8,8.8,6.6,5.9,5.8,6.6,6.6,7.2,7.3,7.2,6,6.6
Jamaica,6,5.7,4.9,5.5,5.3,4.1,4.3,4.7,4.7,6.2,5.8,4.6,4,4.2,3.7,4.5,4.4,5.2,3.5,3.2,2.4
Jordan,7.5,8.2,7.3,7.4,7.3,8,7.8,6.7,6.8,6.7,5.8,5.4,5.1,5.1,5.4,5.7,5.4,6.7,5,5.5,4.7
Japan,36,32,30,28,27,24,23,22,22,21,20,20,19,18,18,16,16,15,14,13,12
Kazakhstan,171,185,193,196,195,187,175,164,158,152,144,135,122,106,91,81,73,69,67,68,69
Kenya,451,499,534,610,634,630,646,618,564,566,531,506,471,443,423,380,348,319,292,267,259
Kyrgyz Republic,145,154,152,146,139,143,139,135,148,128,120,125,127,142,126,136,133,124,116,110,105
Cambodia,579,566,553,539,525,510,495,481,466,452,438,425,412,398,383,366,348,329,308,287,274
Kiribati,373,275,281,400,428,450,501,433,424,344,347,409,407,472,473,559,575,422,349,436,425
St. Kitts and Nevis,0,5.2,7.6,2.5,5,0,2.4,9.6,12,9.5,4.7,2.3,4.6,0,16,4.7,0,2.2,0,4.4,4.3
South Korea,49,84,78,82,77,94,92,91,88,94,95,99,93,88,85,79,76,70,65,59,49
Kuwait,29,27,31,30,29,26,31,30,38,38,37,24,25,23,23,22,24,28,23,22,19
Lao,330,317,305,293,282,270,260,249,240,230,221,213,204,197,189,182,175,168,162,155,149
Lebanon,17,15,12,10,9.9,9.6,9.1,11,13,12,12,11,13,13,12,12,11,10,11,13,13
Liberia,240,245,250,256,262,267,272,277,282,288,293,299,304,308,308,308,308,308,308,308,314
Libya,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,59,59
St. Lucia,6.6,11,12,11,11,9.9,10,13,14,6.7,5.9,4.6,7.2,5.8,3.9,9,1.9,7,3.2,3.8,2.2
Sri Lanka,66,66,66,66,66,66,66,66,66,66,66,66,66,66,65,65,65,64,64,64,64
Lesotho,827,923,1010,1080,1150,1200,1230,1230,1240,1230,1180,1120,1040,948,853,780,721,681,659,654,650
Lithuania,87,86,81,88,69,73,82,79,75,69,64,65,62,60,57,55,54,51,44,42,29
Luxembourg,12,8.1,8,14,7.9,9.3,8.2,9.4,6.6,6.3,6.6,5.5,9.7,8.1,5,6.1,5.8,6.2,8,9,5.9
Latvia,96,98,89,84,80,72,67,64,55,51,50,47,53,49,42,40,37,32,29,26,23
"Macao, China",121,122,99,94,82,95,96,87,88,75,84,79,82,86,77,71,67,70,60,65,64
Morocco,115,112,116,103,99,99,97,94,98,99,101,100,99,99,101,102,103,100,99,97,98
Monaco,0,0,0,0.38,0.46,0.53,0.61,0.68,0.76,0.83,3.2,0.99,1.1,1.1,0,0,6,0,3,0,0
Moldova,80,99,104,119,133,142,138,135,125,125,116,119,124,127,115,102,101,95,86,80,74
Madagascar,293,286,280,273,268,262,257,252,248,244,241,238,236,233,233,233,233,233,233,233,238
Maldives,59,61,53,57,48,48,38,47,44,35,32,29,35,34,36,42,44,34,33,36,37
Mexico,23,24,22,23,18,22,21,21,21,21,22,21,22,22,22,22,22,23,23,23,24
Marshall Islands,84,136,122,140,268,251,312,352,278,313,428,307,320,327,310,300,388,439,918,483,483
North Macedonia,39,40,42,42,39,36,34,32,27,27,23,20,21,19,17,17,16,13,13,12,12
Mali,77,76,74,73,71,69,68,66,65,64,63,62,61,60,58,57,56,55,53,52,52
Malta,4.7,4.6,6.9,2,5.1,6.3,8.5,11,13,12,8.1,8.3,11,13,12,8.5,13,11,14,26,36
Myanmar,555,555,554,552,549,545,540,535,530,525,500,476,453,431,411,391,372,355,338,322,308
Montenegro,,,,,,29,31,27,24,21,20,20,18,22,21,15,16,14,15,15,16
Mongolia,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,437
Northern Mariana Islands,150,114,104,89,106,116,105,92,59,81,68,70,68,69,54,58,57,83,95,103,82
Mozambique,336,338,339,339,341,342,345,348,351,354,357,359,361,361,361,361,361,361,361,361,368
Mauritania,250,235,220,206,193,181,170,160,151,143,135,128,121,115,111,107,102,97,93,89,87
Montserrat,0,0,0,25,0,24,0,47,31,16,0,0,0,0,0,0,0,0,0,0,0
Mauritius,17,13,14,14,14,13,12,11,11,12,12,11,13,13,13,13,12,12,13,12,12
Malawi,386,395,401,403,402,398,392,383,371,356,338,316,291,261,228,197,176,162,153,146,141
Malaysia,75,72,68,73,68,69,70,69,72,72,75,80,86,91,93,90,94,94,92,92,92
Namibia,985,1100,1190,1240,1260,1250,1210,1140,1060,974,892,815,754,710,674,639,604,565,524,486,460
New Caledonia,50,32,33,19,30,23,24,22,23,25,22,23,17,19,12,24,16,14,15,9.4,10
Niger,191,179,168,159,151,143,136,129,123,118,113,109,105,102,98,95,93,90,87,84,83
Nigeria,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
Nicaragua,59,59,50,54,52,44,45,51,52,50,53,57,58,57,54,50,46,44,41,43,42
Niue,0,0,256,0,0,0,0,0,0,0,0,71,0,0,0,0,29,0,143,0,48
Netherlands,9,10,9.7,9.3,9.3,7.9,7,6.5,6.7,7.8,7.1,6.7,6.3,5.7,5.5,5.8,5.9,5.2,5.3,5,4.1
Curaçao,,,,,,,,,,,3.9,0.76,0.74,1.5,3.6,5.8,2.9,6.4,6.4,7.2,8
Norway,5.6,7,6.1,8.4,7.1,6.9,6.8,6.9,7.2,7.8,6.9,7.4,7.9,8.2,6.8,6.3,6.1,5.1,4.1,3.3,3.1
Nepal,417,405,393,382,371,360,350,339,329,320,311,302,293,284,276,268,260,253,245,238,235
Nauru,45,34,57,35,76,128,140,35,58,46,34,57,70,80,89,111,110,98,54,182,180
New Zealand,10,11,9.5,12,10,9.2,9.5,7.4,7.8,7.9,7.9,7.9,7.5,6.9,7.5,7.3,7.3,7.4,7.3,7.5,7.5
Oman,16,15,14,12,14,12,15,14,15,13,12,12,13,10,10,8.8,8.9,6.7,5.9,8.5,7
Pakistan,275,275,275,276,276,276,276,276,276,276,276,276,276,275,270,270,268,267,265,263,259
Panama,48,70,63,63,65,61,60,58,58,54,53,55,50,47,47,52,56,57,52,37,32
Peru,183,173,166,146,151,151,153,143,141,138,134,133,126,125,125,122,120,119,119,119,116
Philippines,590,579,569,559,549,539,530,520,524,528,531,535,539,543,546,550,554,554,554,554,539
Palau,64,64,64,52,29,58,71,66,93,119,122,78,26,52,91,91,149,129,109,38,64
Papua New Guinea,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,441
Poland,33,30,30,30,26,25,24,24,22,23,21,24,21,21,20,19,19,17,16,15,9.6
Puerto Rico,5.5,3.8,4,3.6,3.9,3.6,3.6,3.1,3,2,2.6,1.6,2.3,1.6,1.5,1.8,2.3,1.4,0.95,1.4,1.1
North Korea,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,523
Portugal,47,48,49,44,40,36,35,32,31,29,28,27,27,26,24,23,20,20,21,19,16
Paraguay,42,44,44,47,47,43,48,43,42,44,42,43,43,40,39,40,41,43,43,46,48
Palestine,3.2,2.5,1.9,1.3,0.82,0.98,1.4,1.1,1.3,1.1,0.96,0.96,0.94,1.1,1.2,1.1,0.97,0.76,0.77,0.53,0.48
French Polynesia,30,29,30,23,28,28,30,28,22,23,18,27,21,22,24,19,23,22,22,22,26
Qatar,54,53,50,47,42,43,38,38,45,43,36,31,38,30,22,24,22,25,31,35,34
Romania,143,149,157,157,152,140,132,124,120,115,104,96,92,89,85,82,74,72,68,66,64
Russia,95,92,90,88,87,88,88,90,90,89,85,81,77,73,70,67,63,59,54,50,46
Rwanda,96,83,89,100,93,102,112,106,101,95,83,80,72,66,65,61,62,58,59,57,58
Saudi Arabia,19,18,18,17,16,17,18,18,18,17,19,16,15,13,12,12,10,10,10,9.9,8.1
Serbia and Montenegro,33,52,49,54,43,,,,,,,,,,,,,,,,
Sudan,148,139,139,138,142,143,146,144,116,121,119,105,103,100,94,88,82,77,71,67,63
Senegal,155,153,150,147,144,141,139,138,136,134,132,130,129,127,125,123,122,120,118,117,117
Singapore,49,43,42,44,39,37,35,34,38,35,35,36,49,46,45,45,50,47,47,41,46
Solomon Islands,91,86,73,82,93,106,96,101,96,89,80,92,81,79,73,86,81,73,74,66,65
Sierra Leone,305,309,311,313,314,316,317,318,318,318,317,316,314,313,310,307,304,301,298,295,298
El Salvador,32,31,32,29,29,37,34,34,35,34,34,38,41,43,44,48,60,72,70,58,55
San Marino,4.2,0,4.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,285,285,285,285,285,285,285,285,286,286,286,286,286,285,274,274,270,266,262,258,259
Serbia,,,,,,40,40,37,35,32,30,28,24,27,23,21,19,19,17,14,13
South Sudan,,,,,,,,,,,,227,227,227,227,227,227,227,227,227,232
Sao Tome and Principe,119,117,112,125,138,151,166,98,70,78,117,129,107,134,141,156,162,117,124,114,118
Suriname,24,20,25,27,25,29,32,31,26,43,46,29,30,32,33,32,25,28,38,29,29
Slovak Republic,22,21,21,21,14,15,14,13,12,9.6,8.7,8,6.8,8.4,6.8,6.5,5.9,4.8,5.8,4.5,3.2
Slovenia,21,21,20,16,14,16,12,12,12,11,9.5,10,7.5,7.7,7.9,7.2,6.5,6.2,5.4,5.4,4.1
Sweden,5.4,5.1,4.8,5.1,5.5,6.9,6.2,5.8,6.4,7.1,7.5,6.5,7.1,7.3,7.5,9.2,8.2,5.7,5.5,5.5,3.6
Eswatini,981,1010,1110,1270,1320,1420,1460,1430,1390,1590,1590,1300,1110,1030,855,648,537,502,441,363,319
Sint Maarten (Dutch part),,,,,,,,,,,10,6.6,3.2,6.1,0,5.8,0,14,19,14,2.7
Seychelles,28,27,40,13,24,18,23,22,7.6,19,21,26,25,30,16,9.7,14,19,18,16,11
Syria,39,37,35,35,32,29,26,27,23,24,21,21,18,17,23,20,22,20,19,19,19
Turks and Caicos Islands,16,16,15,28,26,27,27,26,25,24,21,31,27,6.6,3.3,6.4,6.3,12,6.1,12,11
Chad,151,152,152,152,151,151,150,149,149,148,147,147,146,146,145,144,144,143,142,142,144
Togo,52,53,56,60,66,71,74,77,78,77,76,73,69,64,58,52,46,41,38,37,36
Thailand,241,245,244,240,232,224,215,205,196,188,181,176,172,170,167,163,160,156,153,150,150
